offshore_bin,hour_local,n,residual_median_kt,residual_p10_kt,residual_p90_kt,sog_median_kt,predicted_median_kt,analysis_tws_median_kt
5-10nm,2,366,-0.28,-3.69,3.67,4.99,5.35,5.26
5-10nm,3,385,0.23,-2.94,4.03,5.61,5.26,5.5
5-10nm,4,385,0.47,-3.39,3.85,5.33,4.85,4.58
5-10nm,5,353,-0.55,-3.88,3.25,4.99,5.19,4.77
5-10nm,6,338,0.04,-3.51,3.26,5.2,4.8,4.59
5-10nm,7,341,0.31,-3.23,3.73,5.19,4.7,4.7
5-10nm,8,376,-0.06,-3.28,3.34,4.69,4.91,4.08
5-10nm,9,423,-0.46,-3.39,2.58,4.31,4.97,4.1
5-10nm,10,420,-0.69,-3.52,2.63,4.64,5.01,5.07
5-10nm,11,405,-0.58,-3.59,2.76,4.77,5.19,5.5
5-10nm,12,338,-0.0,-3.05,3.71,5.44,5.4,5.68
5-10nm,13,786,0.36,-2.31,3.82,6.62,6.34,7.22
5-10nm,14,677,1.0,-2.0,3.66,6.75,5.92,6.26
5-10nm,15,531,0.5,-1.94,2.98,6.94,6.42,7.01
5-10nm,16,486,0.39,-2.38,3.18,6.5,6.23,9.99
5-10nm,17,509,-0.59,-3.37,2.7,5.99,6.62,9.34
5-10nm,18,495,-0.53,-3.22,3.51,5.94,6.04,8.16
5-10nm,19,442,-0.61,-3.85,3.33,5.24,5.61,7.45
5-10nm,20,453,-0.71,-4.21,2.83,4.89,5.69,6.4
5-10nm,21,397,-0.63,-4.37,3.09,5.06,5.67,5.78
5-10nm,22,399,-0.08,-3.93,3.48,5.03,5.39,5.77
5-10nm,23,355,-0.21,-3.59,3.24,4.87,5.03,4.8
